No,TMNo,EnNo,Name,Column1,GMNo,Mode,IN/OUT,Antipass,DateTime
1,1,23,          ,1,1, ,0,3/11/2021 8:19,
2,1,23,          ,1,1, ,0,3/11/2021 10:51,
3,1,19,          ,1,1, ,0,3/11/2021 12:00,
4,1,56,          ,1,1, ,0,3/11/2021 12:00,
5,1,36,          ,1,1, ,0,3/11/2021 12:00,
6,1,34,          ,1,1, ,0,3/11/2021 12:00,
7,1,24,          ,1,1, ,0,3/11/2021 12:00,
8,1,34,          ,1,1, ,0,3/11/2021 12:00,
9,1,10,          ,1,1, ,0,3/11/2021 12:00,
10,1,45,          ,1,1, ,0,3/11/2021 12:00,
11,1,17,          ,1,1, ,0,3/11/2021 12:00,
12,1,17,          ,1,1, ,0,3/11/2021 12:00,
13,1,38,          ,1,1, ,0,3/11/2021 12:00,
14,1,8,          ,1,1, ,0,3/11/2021 12:00,
15,1,32,          ,1,1, ,0,3/11/2021 12:00,
16,1,18,          ,1,1, ,0,3/11/2021 12:00,
17,1,20,          ,1,1, ,0,3/11/2021 12:00,
18,1,12,          ,1,1, ,0,3/11/2021 12:01,
19,1,51,          ,1,1, ,0,3/11/2021 12:02,
20,1,16,          ,1,1, ,0,3/11/2021 12:02,
21,1,52,          ,1,1, ,0,3/11/2021 12:05,
22,1,53,          ,1,1, ,0,3/11/2021 12:05,
23,1,37,          ,1,1, ,0,3/11/2021 12:06,
24,1,31,          ,1,1, ,0,3/11/2021 12:07,
25,1,21,          ,1,1, ,0,3/11/2021 12:07,
26,1,35,          ,1,1, ,0,3/11/2021 12:08,
27,1,25,          ,1,1, ,0,3/11/2021 12:08,
28,1,59,          ,1,1, ,0,3/11/2021 12:08,
29,1,5,          ,1,1, ,0,3/11/2021 12:08,
30,1,32,          ,1,1, ,0,3/11/2021 12:10,
31,1,8,          ,1,1, ,0,3/11/2021 12:10,
32,1,45,          ,1,1, ,0,3/11/2021 12:10,
33,1,34,          ,1,1, ,0,3/11/2021 12:10,
34,1,6,          ,1,1, ,0,3/11/2021 12:10,
35,1,56,          ,1,1, ,0,3/11/2021 12:10,
36,1,19,          ,1,1, ,0,3/11/2021 12:11,
37,1,23,          ,1,1, ,0,3/11/2021 12:11,
38,1,16,          ,1,1, ,0,3/11/2021 12:12,
39,1,3,          ,1,1, ,0,3/11/2021 12:13,
40,1,51,          ,1,1, ,0,3/11/2021 12:13,
41,1,14,          ,1,1, ,0,3/11/2021 12:14,
42,1,48,          ,1,1, ,0,3/11/2021 12:14,
43,1,57,          ,1,1, ,0,3/11/2021 12:14,
44,1,2,          ,1,1, ,0,3/11/2021 12:14,
45,1,26,          ,1,1, ,0,3/11/2021 12:15,
46,1,15,          ,1,1, ,0,3/11/2021 12:15,
47,1,20,          ,1,1, ,0,3/11/2021 12:16,
48,1,17,          ,1,1, ,0,3/11/2021 12:16,
49,1,17,          ,1,1, ,0,3/11/2021 12:16,
50,1,55,          ,1,1, ,0,3/11/2021 12:16,
51,1,18,          ,1,1, ,0,3/11/2021 12:17,
52,1,11,          ,1,1, ,0,3/11/2021 12:17,
53,1,38,          ,1,1, ,0,3/11/2021 12:17,
54,1,58,          ,1,1, ,0,3/11/2021 12:18,
55,1,35,          ,1,1, ,0,3/11/2021 12:19,
56,1,25,          ,1,1, ,0,3/11/2021 12:19,
57,1,59,          ,1,1, ,0,3/11/2021 12:20,
58,1,33,          ,1,1, ,0,3/11/2021 12:20,
59,1,52,          ,1,1, ,0,3/11/2021 12:24,
60,1,53,          ,1,1, ,0,3/11/2021 12:24,
61,1,37,          ,1,1, ,0,3/11/2021 12:26,
62,1,50,          ,1,1, ,0,3/11/2021 12:26,
63,1,11,          ,1,1, ,0,3/11/2021 12:29,
64,1,55,          ,1,1, ,0,3/11/2021 12:31,
65,1,58,          ,1,1, ,0,3/11/2021 12:31,
66,1,3,          ,1,1, ,0,3/11/2021 12:31,
67,1,48,          ,1,1, ,0,3/11/2021 12:32,
68,1,57,          ,1,1, ,0,3/11/2021 12:32,
69,1,6,          ,1,1, ,0,3/11/2021 12:34,
70,1,21,          ,1,1, ,0,3/11/2021 12:35,
71,1,31,          ,1,1, ,0,3/11/2021 12:35,
72,1,26,          ,1,1, ,0,3/11/2021 12:37,
73,1,14,          ,1,1, ,0,3/11/2021 12:39,
74,1,15,          ,1,1, ,0,3/11/2021 12:40,
75,1,33,          ,1,1, ,0,3/11/2021 12:41,
76,1,9,          ,1,1, ,0,3/11/2021 12:45,
77,1,7,          ,1,1, ,0,3/11/2021 12:45,
78,1,5,          ,1,1, ,0,3/11/2021 12:46,
79,1,50,          ,1,1, ,0,3/11/2021 12:46,
80,1,9,          ,1,1, ,0,3/11/2021 12:51,
81,1,10,          ,1,1, ,0,3/11/2021 12:51,
82,1,9,          ,1,1, ,0,3/11/2021 12:55,
83,1,12,          ,1,1, ,0,3/11/2021 12:59,
84,1,7,          ,1,1, ,0,3/11/2021 12:59,
85,1,2,          ,1,1, ,0,3/11/2021 13:02,
86,1,36,          ,1,1, ,0,3/11/2021 13:02,
87,1,19,          ,1,1, ,0,3/11/2021 15:55,
88,1,57,          ,1,1, ,0,3/11/2021 16:00,
89,1,48,          ,1,1, ,0,3/11/2021 16:00,
